gene_names,iBAQ_avg
ATP5I,7.786719
YARS,7.785952
POH1,7.784852333
EBP,7.784524333
HC2,7.784032
EZR,7.782143667
PSMC6,7.781149
PSMC1,7.780980667
DIFF6,7.779994
ACR1,7.779121
DAZAP1,7.778062333
ARM2,7.777814333
EIF3D,7.777533333
EIF4F,7.777125
RAD23B,7.776008
PDHB,7.774843
FACT80,7.774453333
ACHAP,7.774445667
MIG5,7.77405
ERP70,7.773536333
MIP224,7.773044
COX5A,7.772929
FBL,7.772175667
DARS,7.771520333
SAP61,7.771109333
DDB1,7.768487667
HNRPDL,7.766442333
PIN1,7.765161333
SFRS9,7.765101333
NANS,7.764573
FUBP1,7.763358667
CDV3,7.762635333
PSA,7.762088667
ACAT,7.761088
CLIC1,7.758328667
DKFZp564E242,7.757338667
DDX1,7.756108333
CDC42,7.753467333
CLIM1,7.752296667
PSMD3,7.750881667
DAD1,7.750337333
SNRPC,7.750084667
C12orf8,7.749734667
ATP1A1,7.747634667
PSME3,7.744978333
TARDBP,7.74132
ASNS,7.741147
PRI,7.740996667
MCT1,7.740468
MCM6,7.739988333
C14orf156,7.738645667
RPS27L,7.738277667
DA41,7.736775667
HSD48,7.736719
EIF1AY,7.734999667
HNRNPA0,7.733705
HSPC033,7.733394
ATP5L,7.732616667
ADSS,7.731728333
DLD,7.730303
GDI1,7.727367667
ACTL6A,7.726812667
HKMT1069,7.723355333
ASCT2,7.723208667
ARG134,7.722484
EFTUD2,7.720703
ACTR2,7.718843333
CALU,7.718632667
LMPY,7.717760333
YWHA1,7.717675
MSS1,7.717459333
C19orf10,7.715883
MRLC2,7.715341
ERK2,7.714473333
ARMET,7.712935
BM-002,7.711172
CPN3,7.711043
HRIHFB2115,7.710196333
KARS,7.709428
AL022311.1-001,7.708808333
SNRPA,7.708424667
ASNS,7.707355333
CROC1,7.706379667
KIAA0107,7.700302333
ANP32E,7.699810333
NDUFA5,7.699719333
UQCRC1,7.698121
VDAC3,7.696306667
SND1,7.693993667
ATP5O,7.691521
SFRS10,7.690592
ARPC4,7.690426333
PSMD2,7.689969
SAR1,7.689872
CNPY2,7.689030333
ARD1,7.687193
CGI-59,7.686698667
RP11-112J3.4-006,7.686000667
RARS,7.685573667
NPM3,7.684976
AIF,7.684851667
EPRS,7.684611
DC15,7.684504667
ESD,7.683364333
ARL6IP5,7.682379
CLIC4,7.681796
CDC21,7.680017
CMK,7.676924
RBM3,7.676833333
ATP5F1,7.676490333
GOT1,7.674813333
CGI-97,7.674141333
ERF1,7.672915
RPN2,7.672437
C14orf166,7.672167
C1orf41,7.666750333
NDUFA8,7.66197
IPO5,7.661506667
FLC3B,7.660800667
HC3,7.657878333
CAND1,7.655427
D3S1231E,7.655366667
NOL5A,7.655348
NAMPT,7.654587667
GSPT1,7.654006
TXNDC17,7.653293667
FIR,7.652356333
ADI1,7.650580333
LSM3,7.649831333
C2orf6,7.647850333
SEC61G,7.647106
ACTDP,7.647042
EIF3C,7.645913333
BTF3,7.643854667
COMT,7.642921667
UQCRC2,7.642438333
EIF3G,7.641890333
ARC34,7.641619
KIAA1835,7.640782333
ATP5C,7.638924333
CKS2,7.638574
LMN1,7.63757
DEK,7.636704
CSNK2A1,7.636605667
NPEPPS,7.63651
RNP24,7.635885333
HADH,7.635737667
CAPRIN1,7.635521
SOD2,7.630876333
DNAJ2,7.630553333
ARSA,7.629887333
KIAA0017,7.629733667
MCM3,7.629396667
H1FX,7.628721333
ADH5,7.628566
MM1,7.627853333
HIP2,7.626227333
COX6B,7.626212667
EIF3A,7.624155333
GMPS,7.623681333
GTPBP9,7.622910667
CYB5R3,7.622528667
HSP75,7.622002667
RP11-352P4.2-004,7.620755
HARS,7.615555667
WDR12,7.613414
EIF2B,7.612529333
SAP114,7.611732667
COPA,7.610639667
ATP2A2,7.609972667
HDAC1,7.608889667
RAB2,7.608603667
DAAP-21F2.8-002,7.608169333
AIMP1,7.6077
SF3B10,7.607349667
PRO3113,7.606844
CXorf26,7.606814667
LSM4,7.605796667
hCG_22755,7.604541
ARH9,7.604021333
ARCN1,7.603535333
LAP2,7.602985
C1orf3,7.601734667
ALDC,7.601522
AKR1A1,7.599771333
DNAJC8,7.599721667
RBX1,7.599603667
C17orf25,7.599594
HYRC,7.599178
AARS,7.598567
COPB2,7.596803333
HSPC231,7.595499
MAK3,7.595388667
DDT,7.595085667
ANT3,7.593117333
CDC46,7.592131
PPM1C,7.591375
GLUD,7.590510667
EDF1,7.586224
PDHA1,7.585681
CDC47,7.584045667
LRP130,7.583965667
IFI5111,7.583435333
SBF,7.583187
HASPP28,7.582449
TLP46,7.581413
GPSN2,7.580628
ANX2LG,7.577597667
HAT1,7.576549
DLC2,7.575980667
AIBP,7.575069333
CDC10,7.573676
COPE,7.573325667
ASCC3L1,7.571549667
PFKF,7.571447333
IARS,7.569732
DHC1,7.568759667
TCF6,7.566639333
DDP,7.565639333
CG22,7.565567
RAB11B,7.565224333
ALDH18A1,7.563815
BPNT1,7.562226
PRP8BP,7.561545667
GLUR,7.559599333
REPA1,7.558023
CATX11,7.557336
VPS26,7.557117667
A18HNRNP,7.556246667
HRMT1L5,7.555676667
ATP6A1,7.555548667
HKE2,7.555221
FSCN1,7.552643333
TRP32,7.550506
EDMD,7.549444
KIAA1823,7.548231667
HNRNPUL2,7.547764
WDR61,7.547206
NDPKA,7.546499667
COPB,7.545881333
CLTA,7.545474
GLRX3,7.544775333
KIAA0144,7.544366
UBCH5C,7.543929333
INO1,7.543747
PPP2R2A,7.543217667
C2F,7.542412333
NAPA,7.540711
DRIP4,7.540283667
DNAJC9,7.539965667
TOP1,7.539615667
PHF5A,7.538467333
E2IG3,7.537768333
LBR,7.537606
PABPC4,7.537540667
EWSR1,7.537389
HLC1,7.537013667
CYB5B,7.536729
RPL26L1,7.535964667
SUGT1,7.535589
CPR3,7.535478
PSEC0085,7.534842667
HSPC119,7.533990333
GAR1,7.533613
CCDC124,7.533503333
NDUFA11,7.533287333
SAP145,7.533101667
CHIP,7.532952667
ANXA6,7.532609333
ANX11,7.531914333
NDUFB4,7.525852
TLP19,7.524465333
EIF3J,7.524222333
DRG1,7.523960667
NUP43,7.523745667
NEF3,7.523131
TMEM109,7.522888
PSMD1,7.522047
CKMT,7.519118667
HCC1,7.519060333
AK1,7.518416
COPS4,7.516539333
ATP6E,7.514446667
C6orf55,7.513963
ALDH7A1,7.512397333
DDAH,7.511969
DDOST,7.510787
LDC2,7.509458
HADHB,7.509090333
ACOT7,7.508743667
QARS,7.506903667
HAD,7.505791667
RBM4,7.505303333
FTP3,7.504648
KIAA0153,7.503898333
MRPL12,7.503325
CPSD,7.502157333
ALDH4,7.501403333
CFIM25,7.501148333
UCHL3,7.500323333
ACTR1A,7.500282
CCDC58,7.498625
TGT,7.498244333
WDR1,7.498147
CGI-59,7.498143
GNG12,7.497912333
CYP3,7.496423
SRI,7.496324333
SAP155,7.494345667
PSAP,7.494028333
HIST2H2AB,7.492266667
CRFG,7.492123667
GRP170,7.492118333
CRM1,7.49149
GNAI2,7.491035333
HSD17B12,7.490406667
C2orf79,7.489566667
EEF1A2,7.489537333
BTF3L4,7.489451667
PSMD12,7.488893667
SNRPA1,7.488497333
PYGL,7.488223667
DCXR,7.488026667
SAP62,7.487675333
IPO7,7.487528
SLC20A4,7.486707667
PAB2,7.485531667
ATP6B2,7.485118667
PSP1,7.482628667
KIF5B,7.482509
SUMO1,7.482244
E1BAP5,7.481682667
C10orf70,7.481234333
LIS1,7.481196333
DNAJC7,7.481189333
EIF3E,7.480913667
FKBP13,7.480506667
CRKL,7.480390667
PSMB7,7.478378
IDH3A,7.478251
CAD,7.476255667
HSPC108,7.475930333
COPS8,7.475631667
PRPC8,7.475624
CTTN,7.473768333
EIF3M,7.472499667
PGM1,7.471790667
EIF3S3,7.471635667
CGI-124,7.469711
EEF1D,7.467238
KIAA0221,7.463138333
BRIX,7.462539
LYRM3,7.461918
HSPC286,7.461511
ACO2,7.461430667
PSMD10,7.460816667
MARS,7.459697
TES,7.459641
LSM8,7.459368333
GARS,7.455396
EIF5,7.454977667
MRNP41,7.454176333
SUCLG1,7.452792667
GST5,7.452773333
FACT140,7.452071333
RR1,7.451409667
OK/SW-cl.21,7.451243
CSNK2B,7.451198333
NSUN2,7.451067
CNN3,7.448542
CFIM68,7.447613333
DIPP2,7.444928667
MACS,7.444428333
C13orf2,7.442352667
DNCI2,7.441064
POLR2H,7.438569333
C16orf34,7.438028
KPNB2,7.436379
FTH,7.436335667
NDUFS3,7.435215
COPS6,7.434900667
SAFB,7.434676
IDH3B,7.434396
PAK2,7.434133667
TSN,7.433406667
ATP5A,7.432403667
FDPS,7.431634333
C19orf37,7.429969667
UROD,7.429687
LCRMP,7.429400667
SFRS11,7.428941333
KIAA0081,7.427843333
PPP5,7.427738667
FACE1,7.427409333
PPP1R7,7.425999667
EIF4H,7.425263
SYB3,7.424884667
CDC5L,7.424489667
C11orf58,7.423159667
SEC22B,7.422397
SNX2,7.421300333
ABCE1,7.420633
GNPDA1,7.420518333
NDUFB3,7.419155
ITM1,7.418891
HGRG8,7.418875667
hCG_21932,7.418693667
CCDC56,7.417530667
EBNA1BP2,7.417399
ERGIC53,7.416671
ABCF2,7.416628333
DC6,7.416547
11-Sep,7.412640667
DXS9928E,7.411746333
C5orf8,7.411627333
C21orf33,7.411004667
ALP,7.409276333
MAP4,7.409159333
THOC3,7.409083
FUSIP1,7.407621667
NUDCD2,7.404357667
DFS70,7.403629667
HMGA1,7.402914667
KIAA0361,7.402677333
CYP20,7.401902333
NOL1,7.400851667
NEFL,7.400479
CLP,7.399453
RNPEP,7.398406333
H2AFY2,7.397188667
CK2A2,7.397061
IQGAP1,7.396930333
MAT2B,7.396645
EMC19,7.396377
VCL,7.395999333
YWHAG,7.39591
DNAJ1,7.395190667
PFN2,7.394815
HMGCS,7.394225333
KIAA1978,7.393700333
C1orf77,7.393601333
PAFAH1B2,7.393527
BAP135,7.393051333
RBM25,7.391437667
KIAA1352,7.390647333
AD-001,7.387468
MYH10,7.387085
FARS,7.387058667
C14orf87,7.386356333
B2M,7.384154333
ATP6C,7.380709667
NDUFS5,7.380473
PNPO,7.379873333
API5,7.378763667
ATAD3A,7.378168
ASH,7.377968
NOLA3,7.377654
GA19,7.377483667
DCOH,7.376985
MCT1,7.376816
SMARCA5,7.376581667
HDAC2,7.375325667
NDUFS6,7.374216
BUD31,7.374125333
TPR1,7.372946667
PSEC0230,7.372704333
MSTP011,7.371907667
CFL2,7.370076333
ADTB2,7.370068667
KIAA0102,7.369676667
TIPRL,7.369556
CGI-110,7.367901333
FBP3,7.365938667
GTF2S,7.364518
CYC1,7.364408333
DDX6,7.363393333
BIT1,7.363277667
DENR,7.362411
EIF2AK2,7.362132667
ISOT,7.361721667
DNCLI1,7.361042667
APT2,7.360629
CBS,7.360547
TOMM34,7.360076667
DKC1,7.358468
TRAX,7.357707667
PPT1,7.357381667
POLR2L,7.35697
PYCR2,7.356820667
CRMP2,7.356456667
REPA2,7.355584
SAKS1,7.355421
PRP4,7.355261333
MKI67IP,7.353996667
ADSL,7.353597667
PITPNB,7.353356
BLVRB,7.35192
SEC23A,7.351101333
RFC4,7.349895
FLNB,7.347419
DDX18,7.347035
CGI-117,7.346490333
NUP62,7.345590667
C21orf124,7.345132333
PSPH,7.343862
EPHX,7.342518
DLC1,7.342049667
CSDE1,7.342018333
GNA1,7.341399667
KIAA1185,7.340664
LMN2,7.340397
ARS2,7.340268333
GGH,7.339377333
CGI-100,7.339235667
FXR1,7.338664667
BCAS2,7.337629
MAP2K2,7.337067333
G6PD,7.336727
CRYZ,7.336686333
SNX3,7.336527667
CLINT1,7.335888
EDH17B4,7.335395333
hCG_37382,7.335096333
BMRP,7.334821
PEPD,7.334696
DCI,7.333612667
MTAP,7.331646
FH,7.329245667
HAUSP,7.328216
BAG2,7.327112333
COPS2,7.326934
EIF4EBP1,7.326453667
AHCYL1,7.326111667
DAP3,7.325827
BCLAF1,7.325347667
ARF6,7.324190667
C5orf18,7.323203
SPTB2,7.322957667
HRS,7.322553333
TFG,7.322102333
GRWD,7.321733667
CCDC47,7.321698
TUBG,7.319316
CSTF2,7.318967
CGI-202,7.318803667
HBP,7.318602333
GREPEL1,7.318383
SDH4,7.318093
PFKL,7.316915667
ARH12,7.316896
KIAA0908,7.315985333
PFD1,7.315702
DCTN2,7.315253333
TRA2A,7.314510667
MRPP1,7.314172
SPBC24,7.314162333
DHFR,7.313285333
THRAP3,7.313196
MPST,7.312523667
CGI-61,7.311172
SPTA2,7.310485667
EIF5B,7.310429667
S100A13,7.310048667
NEDD8,7.308808333
CYB5,7.306531
SORD,7.305963667
CKAP4,7.305497333
DXS423E,7.305202667
ZNF326,7.303475667
HNRPCL2,7.303394
CLTB,7.303079333
AIMP3,7.303032667
NDUFS8,7.302158
DNAJB11,7.301869333
ERP44,7.301414333
ARPC1A,7.300619667
PGAM5,7.300377
BAM,7.299673667
G7A,7.298498
EDC4,7.29781
G3BP2,7.297718333
hCG_40633,7.297260333
LYAR,7.297093
NSF,7.296659
C14orf142,7.296597667
GNB2,7.296441333
MDU1,7.295806667
hCG_39182,7.295778333
H731,7.293679333
LAP3,7.292871667
CPO,7.292808667
SMS,7.292266667
M6PRBP1,7.291928333
C6orf14,7.291601333
ZIS,7.290318333
IGF2BP3,7.290158667
HMP,7.289223667
MAZ,7.289146333
DR1,7.288549333
TUBA1A,7.287475
MOV34L,7.287258667
FARSB,7.287103667
IFI53,7.287074
CBP80,7.286961
YTHDF3,7.284947333
EIF4EBP2,7.284887667
MIMT44,7.284147333
LCP1,7.283655333
NDUFA9,7.283607667
CYK18,7.283538667
COX6A1,7.283123333
CGI-111,7.281562667
CHRAC17,7.280664333
BOP1,7.280352667
ALG2,7.278925667
CDA016,7.277085333
AIMP2,7.276771333
CDK4,7.275987333
CYP33,7.275750667
CGI-138,7.273587333
hCG_42853,7.273483667
UHRF1,7.272612
BIG3,7.272246333
AMY1,7.271971333
ARC16,7.271644667
OMP25,7.271100333
CREAP1,7.270715667
DIM1,7.270470333
POLR1C,7.269482333
PLRG1,7.267237
DYNLRB1,7.26691
CSDA,7.266877
DDX47,7.266173333
PPP6,7.265192333
BAX,7.264914
ERO1L,7.264474333
SNRPB2,7.263051333
AP1M1,7.262502333
RFC2,7.261630333
PAFAH1B3,7.261606
UBF,7.261296667
CD81,7.261196333
C12orf31,7.261132333
TMSB4X,7.261036333
DKFZp667H197,7.260890667
CLPP,7.259946
DC2,7.258561
KPNA4,7.258355
CKS1,7.256932667
DLAT,7.256575333
hCG_28760,7.256481333
hCG_39732,7.256430667
GLNS,7.254849
ARF2,7.253593667
BAF155,7.253385333
SH3BGRL,7.253183667
ARC41,7.25197
MGST3,7.251397667
PMM2,7.251238333
RECQ1,7.251238333
MTHFD2,7.250509667
DBC1,7.250349667
D0S117E,7.250340667
NDUFA2,7.250257667
AAG5,7.250131333
APG3,7.250077333
VAT1,7.249786667
C9orf83,7.249291333
RAB6,7.248260333
CA150,7.247723
SRP72,7.247251
MSH2,7.246235333
EFHD2,7.245431
COPG,7.245189333
ARC21,7.244695
CMBL,7.244544667
SRP68,7.244376
BXDC1,7.243680667
C20orf178,7.24331
NDUFV1,7.243183
SNX12,7.242826333
MRPS34,7.241954667
SDH,7.240998
VAP33,7.239183
CDABP0091,7.237575333
CLP1,7.236877667
PI6,7.236525333
VRK1,7.236126667
ARFL3,7.235939667
SEC13L,7.235872
ATA2,7.235755
C19orf70,7.235265333
LSM7,7.234759667
SMBP,7.232581667
DDP2,7.232440333
NUMA1 variant protein,7.231885333
SF1,7.230905333
EXOSC2,7.230081333
CDK2,7.229056
LAMP2,7.228059333
CLCI,7.227391
CHCHD3,7.227084667
NCLN,7.226677667
MBD3,7.226491333
UBE2G2,7.226407333
IDH2,7.226105667
ANX1,7.225947
C6orf74,7.22589
IPP2,7.225394333
EIF2B3,7.225055333
ABHD10,7.22466
NDUFA3,7.224191
KIAA0719,7.223898
PRPSAP2,7.223487333
IMPDH1,7.222470333
CORO1C,7.222460333
BZAP45,7.222436
RP11-101E13.2-007,7.221516333
CSP,7.221489333
HNGS1,7.221087333
CAPE,7.220888333
CENPV,7.220753333
CSTF1,7.220140333
NDUFS2,7.219108333
C7orf24,7.218317333
HSPBP,7.217550667
AFAR,7.217106
SRP54,7.215357
AP17,7.215304
NDUFB10,7.214858
PEP,7.21329
TMEM205,7.211413667
IPOA7,7.210786333
KIAA0052,7.210274667
HINT2,7.209892667
RPL37,7.209389333
NDUFA10,7.209008
DDX2B,7.208962667
KIAA1027,7.208828
HCFC1,7.208711
CDGSH2,7.208251667
SPC22,7.206855333
RNF126,7.206253333
MSTP006,7.206155
BRUNOL2,7.205589
CNBP,7.205438333
KIAA0179,7.205276
MOP5,7.204437333
HSPC273,7.204406
PFKM,7.204313667
UNQ9342/PRO34047,7.204291
BLVR,7.201521
GTBP,7.201149333
NUP37,7.200876
UBE2E3,7.199664
PPIL4,7.199530333
KIAA0731,7.199440667
DFF1,7.199268333
CBFB,7.199122667
NIPSNAP1,7.198388333
UGP1,7.197859333
BAF47,7.197541
CPNE1,7.197146333
GLXR,7.197006
IDH1,7.196908667
ATXN10,7.196201
CCHL,7.195735
ABC50,7.19572
H13,7.195658
IDH3G,7.195428667
NAE1,7.195273
LRRC40,7.194689667
RO60,7.194610667
hCG_17250,7.194379
ESYT1,7.192486
MRDI,7.192314667
NDUFB7,7.192101
15E1.1,7.191033667
CGI-21,7.191010333
TRIP13,7.190436333
AYP1,7.189406
NDUFS4,7.189353667
ATP5D,7.18792
RAB1C,7.186336333
SMNDC1,7.184841
YKT6,7.184094667
